eventID,datasetID,siteID,startYear,startMonth,startDay,endYear,endMonth,endDay,eventDate,startTime,endTime,eventTimeBlocks,eventDuration,eventDurationUnitID,studyDiurnalityID,reportedWeather,recordedBy,eventRemarks,eventMethodsID,verbatimEventMethods,eventMethodProtocolNames,eventMethodProtocolReferences,isAbundanceReported,isAbsenceReported,isSamplingEffortReported,samplingEffortUnitID,samplingEffortValue,targetTaxonomicScope,excludedTaxonomicScope,targetLifestageScopeID,excludedLifeStageScopeID,targetGrowthFormScope,excludedGrowthFormScope,targetSize,excludedSize
54,10,29,1990,5,15,1990,5,15,,00/01/1900,00/01/1900,1,50,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,50,Aves,,2,,,,,
55,10,30,1990,5,15,1990,5,15,,00/01/1900,00/01/1900,1,45,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,45,Aves,,2,,,,,
56,10,27,1990,5,30,1990,5,30,,00/01/1900,00/01/1900,1,60,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,60,Aves,,2,,,,,
57,10,28,1990,5,30,1990,5,30,,00/01/1900,00/01/1900,1,60,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,60,Aves,,2,,,,,
58,10,29,1990,5,30,1990,5,30,,00/01/1900,00/01/1900,1,40,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,40,Aves,,2,,,,,
59,10,30,1990,5,30,1990,5,30,,00/01/1900,00/01/1900,1,35,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,35,Aves,,2,,,,,
60,10,27,1990,6,27,1990,6,27,,00/01/1900,00/01/1900,1,45,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,45,Aves,,2,,,,,
61,10,28,1990,6,27,1990,6,27,,00/01/1900,00/01/1900,1,45,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,45,Aves,,2,,,,,
62,10,29,1990,6,27,1990,6,27,,00/01/1900,00/01/1900,1,25,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,25,Aves,,2,,,,,
63,10,30,1990,6,27,1990,6,27,,00/01/1900,00/01/1900,1,25,2,2,,Burger|Kloubec,,1,standard line transects method,,,FALSE,FALSE,TRUE,5,25,Aves,,2,,,,,
64,11,31,1988,7,,1997,8,,,,,,,1,1,,,,4,traping birds with nets and birds ringing,,,FALSE,FALSE,FALSE,1,,Aves,,2,,,,,
65,11,31,1998,7,,2007,8,,,,,,,1,1,,,,4,traping birds with nets and birds ringing,,,FALSE,FALSE,FALSE,1,,Aves,,2,,,,,
66,12,32,2013,4,13,2013,8,30,,,,10,,1,4,,,,16,"33 points for birds census across the whole territory, plus an observation in addition to basic census in other visits of the reserve",,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",TRUE,FALSE,TRUE,4,10,Aves,,2,,,,,
67,12,33,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
68,12,34,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
