,previousIdentification,scientificName,observation
175,Gavia arctica,Gavia arctica,Ok (IOC World Bird List)
176,Gavia stellata,Gavia stellata,Ok (IOC World Bird List)
177,Gelochelidon nilotica,Gelochelidon nilotica,Ok (IOC World Bird List)
178,Glareola pratincola,Glareola pratincola,Ok (IOC World Bird List)
179,Glaucidium passerinum,Glaucidium passerinum,Ok (IOC World Bird List)
180,Grus grus,Grus grus,Ok (IOC World Bird List)
181,Haematopus ostralegus,Haematopus ostralegus,Ok (IOC World Bird List)
182,Haliaeetus albicilla,Haliaeetus albicilla,Ok (IOC World Bird List)
183,Himantopus himantopus,Himantopus himantopus,Ok (IOC World Bird List)
184,Hippolais icterina,Hippolais icterina,Ok (IOC World Bird List)
185,Hirundo rustica,Hirundo rustica,Ok (IOC World Bird List)
186,Hydrocoloeus minutus,Hydrocoloeus minutus,Ok (IOC World Bird List)
187,Hydroprogne caspia,Hydroprogne caspia,Ok (IOC World Bird List)
188,Charadrius dubius,Charadrius dubius,Ok (IOC World Bird List)
189,Charadrius hiaticula,Charadrius hiaticula,Ok (IOC World Bird List)
190,Charadrius morinellus,Charadrius morinellus,Ok (IOC World Bird List)
191,Chlidonias hybrida,Chlidonias hybrida,Ok (IOC World Bird List)
192,Chlidonias leucopterus,Chlidonias leucopterus,Ok (IOC World Bird List)
193,Chlidonias niger,Chlidonias niger,Ok (IOC World Bird List)
194,Chlidonias nigra,NA,NOT FOUND in IOC World Bird List or BirdLife International
195,Chloris chloris,Chloris chloris,Ok (IOC World Bird List)
196,Chroicocephalus ridibundus,Chroicocephalus ridibundus,Ok (IOC World Bird List)
197,Ichthyaetus melanocephalus,Ichthyaetus melanocephalus,Ok (IOC World Bird List)
198,Ixobrychus minutus,Ixobrychus minutus,Ok (IOC World Bird List)
199,Jynx torquilla,Jynx torquilla,Ok (IOC World Bird List)
200,Lanius collurio,Lanius collurio,Ok (IOC World Bird List)
201,Lanius excubitor,Lanius excubitor,Ok (IOC World Bird List)
202,Larus argentatus,Larus argentatus,Ok (IOC World Bird List)
203,Larus cachinnans,Larus cachinnans,Ok (IOC World Bird List)
204,Larus canus,Larus canus,Ok (IOC World Bird List)
205,Larus fuscus,Larus fuscus,Ok (IOC World Bird List)
206,Larus melanocephalus,Larus melanocephalus,Ok (BirdLife International)
207,Larus minutus,Larus minutus,Ok (BirdLife International)
208,Larus ridibundus,Larus ridibundus,Ok (BirdLife International)
209,Larus sp.,NA,NOT FOUND in IOC World Bird List or BirdLife International
210,Limosa lapponica,Limosa lapponica,Ok (IOC World Bird List)
211,Limosa limosa,Limosa limosa,Ok (IOC World Bird List)
212,Linaria cannabina,Linaria cannabina,Ok (IOC World Bird List)
213,Locustella fluviatilis,Locustella fluviatilis,Ok (IOC World Bird List)
214,Locustella luscinioides,Locustella luscinioides,Ok (IOC World Bird List)
215,Locustella naevia,Locustella naevia,Ok (IOC World Bird List)
216,Lophoohanes cristatus,Lophophanes cristatus,Updated according to IOC World Bird List
217,Lophophanes cristatus,Lophophanes cristatus,Ok (IOC World Bird List)
218,Lophophanes cristaus,Lophophanes cristatus,Updated according to IOC World Bird List
